DATE,NUM_SEVERE,NUM_DAILY_SEVERE,MA7_NUM_SEVERE,MA7_NUM_DAILY_SEVERE,NUM_SEVERE_per_100kpop,NUM_DAILY_SEVERE_per_100kpop,MA7_NUM_SEVERE_per_100kpop,MA7_NUM_DAILY_SEVERE_per_100kpop,REGION_L,REGION_S,REGION_PSGC
2020-08-10,274.0,14.0,246.14285714285714,9.142857142857142,1.9538696049665116,0.0998327535384349,1.7552227994563605,0.06519690026999832,Metropolitan Manila,NCR,PH130000000
2020-08-11,279.0,5.0,254.57142857142856,8.428571428571429,1.989524159801667,0.035654554835155325,1.815326191892765,0.0601033924364047,Metropolitan Manila,NCR,PH130000000
2020-08-12,305.0,26.0,265.4285714285714,10.857142857142856,2.1749278449444747,0.18540368514280767,1.892747510963388,0.07742131907062301,Metropolitan Manila,NCR,PH130000000
2020-08-13,306.0,1.0,274.1428571428571,8.714285714285714,2.182058755911506,0.0071309109670310645,1.95488830653323,0.06214079556984216,Metropolitan Manila,NCR,PH130000000
2020-08-14,305.0,-1.0,282.85714285714283,8.714285714285714,2.1749278449444747,-0.0071309109670310645,2.017029102103072,0.06214079556984216,Metropolitan Manila,NCR,PH130000000
2020-08-15,314.0,9.0,291.85714285714283,9.0,2.2391060436477543,0.06417819870327958,2.081207300806352,0.06417819870327961,Metropolitan Manila,NCR,PH130000000
2020-08-16,324.0,10.0,301.0,9.142857142857142,2.310415153318065,0.07130910967031065,2.14640420107635,0.06519690026999832,Metropolitan Manila,NCR,PH130000000
2020-08-17,320.0,-4.0,307.57142857142856,6.571428571428571,2.281891509449941,-0.028523643868124258,2.1932644731454114,0.04686027206906131,Metropolitan Manila,NCR,PH130000000
2020-08-18,329.0,9.0,314.7142857142857,7.142857142857142,2.34606970815322,0.06417819870327958,2.2441995514813473,0.0509350783359362,Metropolitan Manila,NCR,PH130000000
2020-08-19,344.0,15.0,320.2857142857143,5.571428571428571,2.453033372658686,0.10696366450546596,2.2839289125833777,0.03972936110203024,Metropolitan Manila,NCR,PH130000000
2020-08-20,348.0,4.0,326.2857142857143,6.0,2.4815570165268106,0.028523643868124258,2.326714378385564,0.04278546580218641,Metropolitan Manila,NCR,PH130000000
2020-08-21,335.0,-13.0,330.57142857142856,4.285714285714286,2.3888551739554065,-0.09270184257140383,2.357275425387126,0.03056104700156173,Metropolitan Manila,NCR,PH130000000
2020-08-22,354.0,19.0,336.2857142857143,5.7142857142857135,2.5243424823289966,0.13548730837359022,2.3980234880558746,0.04074806266874897,Metropolitan Manila,NCR,PH130000000
2020-08-23,359.0,5.0,341.2857142857143,5.0,2.5599970371641523,0.035654554835155325,2.43367804289103,0.035654554835155346,Metropolitan Manila,NCR,PH130000000
2020-08-24,356.0,-3.0,346.4285714285714,5.142857142857142,2.538604304263059,-0.021392732901093194,2.470351299292904,0.03667325640187407,Metropolitan Manila,NCR,PH130000000
2020-08-25,359.0,3.0,350.7142857142857,4.285714285714286,2.5599970371641523,0.021392732901093194,2.500912346294466,0.030561047001561724,Metropolitan Manila,NCR,PH130000000
2020-08-26,351.0,-8.0,351.7142857142857,1.0,2.502949749427904,-0.057047287736248516,2.508043257261497,0.007130910967031088,Metropolitan Manila,NCR,PH130000000
2020-08-27,359.0,8.0,353.2857142857143,1.5714285714285714,2.5599970371641523,0.057047287736248516,2.5192489744954027,0.011205717233905982,Metropolitan Manila,NCR,PH130000000
2020-08-28,366.0,7.0,357.7142857142857,4.428571428571428,2.6099134139333695,0.04991637676921745,2.5508287230636832,0.03157974856828045,Metropolitan Manila,NCR,PH130000000
2020-08-29,363.0,-3.0,359.0,1.2857142857142856,2.5885206810322763,-0.021392732901093194,2.559997037164152,0.009168314100468537,Metropolitan Manila,NCR,PH130000000
